builder_name_key,lifecycle_status,event_date,event_year,last_standalone_year,successor_harmonized_builder_id,successor_builder_name,successor_event_type,firm_year_coding_decision,lifecycle_source_url,lifecycle_source_note,lifecycle_manual_review_indicator,lifecycle_notes
"pulte homes","same_registrant_name_change","2010-03-18","2010","","pultegroup","PulteGroup","name_change","Use the PulteGroup harmonized ID for Pulte Homes and PulteGroup observations.","https://www.sec.gov/Archives/edgar/data/822416/000119312511029989/d10k.htm","Pulte 2010 10-K says Pulte Homes changed its name to PulteGroup.","FALSE","Same SEC registrant."
"centex corp","acquired_by_public_builder","2009-08-18","2009","2009","pultegroup","PulteGroup","acquisition","Keep Centex as a standalone firm through the 2009 activity year and track PulteGroup only as successor.","https://www.sec.gov/Archives/edgar/data/822416/000119312511029989/d10k.htm","Pulte 2010 10-K says Centex became a wholly owned subsidiary on August 18 2009.","FALSE","Do not recode Centex pre-merger years to Pulte."
"the ryland group","merged_into_surviving_public_registrant","2015-10-01","2015","2015","standard_pacific_calatlantic","Standard Pacific / CalAtlantic","merger","Keep Ryland as a standalone pre-merger firm and track CalAtlantic only as successor.","https://newsroom.lennar.com/2015-11-04-CalAtlantic-Group-Inc-Reports-2015-Third-Quarter-Results","CalAtlantic release says Ryland merged into Standard Pacific and Standard Pacific survived as CalAtlantic.","FALSE","Do not recode Ryland pre-merger years to Standard Pacific or CalAtlantic."
"m d c holdings","acquired_by_foreign_public_parent","2024-04-19","2024","2024","sekisui house u s","Sekisui House U.S.","acquisition","Keep MDC as standalone through the 2024 activity year and track Sekisui House as foreign-parent successor.","https://www.prnewswire.com/news-releases/sekisui-house-completes-acquisition-of-mdc-holdings-expanding-us-business-by-strengthening-the-delivery-of-high-quality-detached-homes-across-16-states-302122083.html","Sekisui House announced completion of the MDC acquisition and MDC delisting on April 19 2024.","FALSE","Successor is foreign public parent and is not a comparable U.S. SEC 10-K builder."
"standard pacific corp","same_surviving_registrant_name_change_after_merger","2015-10-01","2015","","standard_pacific_calatlantic","Standard Pacific / CalAtlantic","name_change_after_merger","Use the Standard Pacific / CalAtlantic harmonized ID for Standard Pacific and CalAtlantic observations.","https://newsroom.lennar.com/2015-11-04-CalAtlantic-Group-Inc-Reports-2015-Third-Quarter-Results","CalAtlantic release says Standard Pacific survived the Ryland merger and changed its name to CalAtlantic.","FALSE","CalAtlantic is later acquired by Lennar in 2018."
"technical olympic usa","bankruptcy_or_liquidation","2008-01-29","2008","2007","","","bankruptcy","Keep TOUSA as standalone through the 2007 activity year and do not assign a successor.","https://www.sec.gov/Archives/edgar/data/1046578/000095014408006390/g14602e10vk.htm","TOUSA 2007 10-K says TOUSA and subsidiaries filed Chapter 11 petitions on January 29 2008.","FALSE","Same public-parent group as the Engle Homes division label."
"meritage corp","same_registrant_name_change","2004-09-10","2004","","meritage_homes","Meritage Homes","name_change","Use the Meritage Homes harmonized ID for all Meritage label variants.","https://investors.meritagehomes.com/sec-filings/all-sec-filings/content/0001104659-04-027692/a04-10468_1ex99d1.htm","Meritage release says Meritage Corporation changed its name to Meritage Homes Corporation.","FALSE","Same SEC registrant."
"weyerhaeuser real estate co","merged_into_public_builder","2014-07-07","2014","2014","tri pointe homes","Tri Pointe Homes","reverse_morris_trust_merger","Keep Weyerhaeuser Real Estate as standalone through the 2014 activity year and track Tri Pointe only as successor.","https://investors.tripointehomes.com/newsroom/press-release-details/2014/TRI-Pointe-Homes-Closes-28-Billion-Merger-with-Weyerhaeuser-Real-Estate-Company/","TRI Pointe announced closing of its merger with Weyerhaeuser Real Estate Company on July 7 2014.","FALSE","Do not recode WRECO pre-merger years to Tri Pointe."
"morrison homes","predecessor_lineage_to_current_builder","2007-07-03","2007","2007","taylor morrison","Taylor Morrison","parent_company_merger","Keep Morrison Homes as a standalone pre-successor Builder label and track Taylor Morrison only as successor lineage.","https://www.sec.gov/Archives/edgar/data/1562476/000119312514065264/d640184d10k.htm","Taylor Morrison 2014 10-K describes the 2007 integration of Morrison Homes and Taylor Woodrow into Taylor Morrison.","FALSE","Do not recode pre-2008 Morrison Homes to the later TMHC public registrant."
"william lyon homes","acquired_by_public_builder","2020-02-06","2020","2020","taylor morrison","Taylor Morrison","acquisition","Keep William Lyon Homes as standalone through the 2020 activity year and track Taylor Morrison only as successor.","https://newsroom.taylormorrison.com/2020-02-06-Taylor-Morrison-Announces-Close-of-William-Lyon-Homes-Acquisition-with-Unwavering-Commitment-to-Smart-Growth","Taylor Morrison announced closing of the William Lyon Homes acquisition on February 6 2020.","FALSE","Do not recode William Lyon pre-acquisition years to Taylor Morrison."
"taylor woodrow homes","predecessor_lineage_to_current_builder","2007-07-03","2007","2007","taylor morrison","Taylor Morrison","parent_company_merger","Keep Taylor Woodrow Homes as a standalone pre-successor Builder label and track Taylor Morrison only as successor lineage.","https://www.sec.gov/Archives/edgar/data/1562476/000119312514065264/d640184d10k.htm","Taylor Morrison 2014 10-K describes the 2007 integration of Taylor Woodrow and Morrison Homes into Taylor Morrison.","FALSE","Do not recode pre-2008 Taylor Woodrow Homes to the later TMHC public registrant."
"jim walter homes","shutdown_by_public_parent","2009-01-06","2009","2008","","","shutdown","Keep Jim Walter Homes as standalone through the 2008 activity year and do not assign a successor.","https://www.builderonline.com/money/jim-walter-homes-closes-shop_o","Builder reports Walter Industries closed Jim Walter Homes in January 2009.","FALSE","No clean acquirer or continuing SEC homebuilder successor."
"dominion homes","taken_private_by_buyout_group","2008-06-01","2008","2008","","Angelo Gordon / Silver Point / BRC Properties affiliates","going_private_transaction","Keep Dominion Homes as standalone through the 2008 activity year and do not assign a public-builder successor.","https://www.jonesday.com/en/practices/experience/2008/06/dominion-homes-completes-sale-to-buyout-group","Jones Day says Dominion Homes was acquired by a buyout group affiliated with Angelo Gordon Silver Point and BRC Properties in June 2008.","FALSE","Later Pulte asset purchases are not the disappearance event for the public Builder firm."
"wci communities","acquired_by_public_builder","2017-02-10","2017","2017","lennar corp","Lennar Corp.","acquisition","Keep WCI Communities as standalone through the 2017 activity year and track Lennar only as successor.","https://investors.lennar.com/press-releases/2017/02-10-2017-144502031","Lennar announced completion of the WCI Communities acquisition on February 10 2017.","FALSE","Do not recode WCI pre-acquisition years to Lennar."
"orleans homebuilders","bankruptcy_reorganization","2010-03-01","2010","2010","","","bankruptcy","Keep Orleans Homebuilders as standalone through the 2010 activity year and do not assign a public-builder successor.","https://www.prnewswire.com/news-releases/orleans-homebuilders-inc-files-voluntary-chapter-11-petitions-obtains-up-to-40-million-in-anticipated-new-dip-financing-all-homebuilding-and-management-services-to-continue-operations-85875087.html","Orleans announced voluntary Chapter 11 petitions on March 1 2010.","FALSE","Later asset sales are not a clean public-firm successor."
"brookfield homes corp","merged_into_brookfield_residential","2011-03-31","2011","2011","brookfield residential properties","Brookfield Residential Properties","merger_and_contribution","Keep Brookfield Homes as standalone through the 2011 activity year and track Brookfield Residential only as successor.","https://www.globenewswire.com/news-release/2011/03/25/1343846/0/en/Brookfield-Homes-Reports-Stockholder-Approval-of-Merger-and-Contribution-Agreement.html","Brookfield Homes approved combination with Brookfield Residential Properties and Brookfield Office Properties residential division.","FALSE","Do not collapse because Brookfield Residential combines Brookfield Homes with another residential division."
"avatar holdings","same_registrant_name_change","2012-02-15","2012","","av_homes_avatar_holdings","AV Homes / Avatar Holdings","name_change","Use the AV Homes / Avatar Holdings harmonized ID for Avatar and AV Homes label variants until AV Homes is acquired.","https://www.globenewswire.com/news-release/2012/02/15/468145/0/en/Avatar-Holdings-Inc-Becomes-AV-Homes-Inc.html","Company release says Avatar Holdings became AV Homes and retained ticker AVHI.","FALSE","Same SEC registrant."
"levitt and sons","bankruptcy_or_shutdown","2007-11-09","2007","2007","","","bankruptcy","Keep Levitt and Sons as standalone through the 2007 activity year and do not assign a successor.","https://www.builderonline.com/land/levitt-and-sons-files-for-chapter-11_o","Builder reports Levitt and Sons and subsidiaries filed for Chapter 11 in November 2007.","FALSE","No clean public-builder successor."
"capital pacific holdings","taken_private_by_founder_affiliate","2006-05-26","2006","2006","","CPH Holding Inc.","going_private_merger","Keep Capital Pacific Holdings as standalone through the 2006 public activity year and treat later Builder rows as private-builder years.","https://info.creditriskmonitor.com/Report/ReportPreview.aspx?BusinessId=13194","CreditRiskMonitor reports Capital Pacific was merged or acquired on May 26 2006 and completed its merger with CPH Holding Inc. in June 2006.","FALSE","Browser could not open the OC Register page but the accessible company report aligns with the user-provided private-company source."
"st joe co","same_public_parent_residential_segment_noncomparable","2006-09-30","2006","2006","st_joe","St. Joe","homebuilding_exit","Use the St. Joe harmonized ID for St. Joe Co. and St. Joe Towns & Resorts while excluding the public parent from comparable production-builder SEC land panels.","https://ir.joe.com/news-releases/news-release-details/st-joe-company-nyse-joe-reports-full-year-2005-net-income-166/","St. Joe source identifies St. Joe Towns & Resorts as JOE's residential and resort development segment with housing and home site revenues.","FALSE","St. Joe remains public but is a land and real estate developer rather than a comparable production builder."
"meritage homes corp","same_registrant_builder_label_change","2024-01-01","2024","","meritage_homes","Meritage Homes","builder_label_change","Use the Meritage Homes harmonized ID for all Meritage label variants.","https://investors.meritagehomes.com/sec-filings/all-sec-filings/content/0001104659-04-027692/a04-10468_1ex99d1.htm","Meritage source supports the same registrant name lineage from Meritage Corporation to Meritage Homes Corporation.","FALSE","Builder later drops Corp. from the observed label."
"st joe towns and resorts","same_public_parent_residential_segment_noncomparable","2006-09-30","2006","2006","st_joe","St. Joe","homebuilding_exit","Use the St. Joe harmonized ID for St. Joe Co. and St. Joe Towns & Resorts while excluding the public parent from comparable production-builder SEC land panels.","https://ir.joe.com/news-releases/news-release-details/st-joe-company-nyse-joe-reports-full-year-2005-net-income-166/","St. Joe source identifies St. Joe Towns & Resorts as JOE's residential and resort development segment with housing and home site revenues.","FALSE","St. Joe 2006 release confirms JOE then exited Florida homebuilding."
"comstock holding co","business_model_shift_out_of_for_sale_homebuilding","2018-04-02","2018","2018","","","business_model_shift","Keep Comstock as standalone but flag post-shift observations as non-comparable for production-builder analysis.","https://ir.comstock.com/news/news-details/2018/Comstock-Holding-Announces-Major-Shift-of-Business-Focus/default.aspx","Comstock announced a transition from for-sale homebuilding to commercial development asset management and real estate services.","FALSE","Comstock remains a public SEC reporter but no longer fits the production-builder land panel after the shift."
"wl homes","foreign_parent_owned_bankruptcy","2009-02-19","2009","2008","","","bankruptcy","Keep WL Homes as standalone through the 2008 activity year and do not assign a successor.","https://www.latimes.com/archives/la-xpm-2009-feb-20-fi-bankrupt20-story.html","Los Angeles Times reports WL Homes doing business as John Laing filed Chapter 11 in February 2009 after Emaar acquired it in 2006.","FALSE","Foreign-parent ownership and bankruptcy make this non-comparable to current SEC builders."
"engle homes division of tousa homes","bankruptcy_or_liquidation","2008-01-29","2008","2007","","","bankruptcy","Use the TOUSA harmonized ID but keep the group eligible only through the 2007 activity year.","https://www.sec.gov/Archives/edgar/data/1046578/000095014408006390/g14602e10vk.htm","TOUSA 2007 10-K links Engle Homes and TOUSA and says Chapter 11 petitions were filed on January 29 2008.","TRUE","Division label is retained for review even though it maps to the TOUSA public parent."
"suncor development co","public_parent_disposed_homebuilding_assets","2009-03-27","2009","2009","","","asset_disposal_and_liquidation","Keep SunCor as standalone and do not assign a successor.","https://www.pinnaclewest.com/newsroom/company-news/news-release-details/2009/Pinnacle-West-Reports-2009-First-Quarter-Loss-Real-Estate-Charges-Drive-Consolidated-Results-Milder-Weather-and-Increased-Costs-Contribute-to-Lower-APS-Results/default.aspx","Pinnacle West says SunCor initiated a plan to dispose of most real estate assets in 2009.","FALSE","SunCor later liquidated and is not a comparable ongoing builder."
"brookfield residential properties","taken_private_by_public_parent","2015-03-13","2015","2015","","Brookfield Asset Management","going_private_transaction","Keep Brookfield Residential as standalone through the 2015 activity year and flag later Builder observations as post-public private-builder years.","https://www.brookfieldresidential.com/press-releases-events-and-webcasts-landing/brookfield-asset-management-closes-going-private-transaction-of-brookfield-residential","Brookfield Residential source says Brookfield Asset Management closed the going-private transaction on March 13 2015.","FALSE","Treat post-2015 Builder observations as private-builder years."
"av homes formerly avatar holdings","same_registrant_name_change","2012-02-15","2012","","av_homes_avatar_holdings","AV Homes / Avatar Holdings","name_change","Use the AV Homes / Avatar Holdings harmonized ID for Avatar and AV Homes label variants until AV Homes is acquired.","https://www.globenewswire.com/news-release/2012/02/15/468145/0/en/Avatar-Holdings-Inc-Becomes-AV-Homes-Inc.html","Company release says Avatar Holdings became AV Homes and retained ticker AVHI.","FALSE","Intermediate Builder label only."
"av homes","acquired_by_public_builder","2018-10-02","2018","2018","taylor morrison","Taylor Morrison","acquisition","Keep AV Homes as standalone through the 2018 activity year and track Taylor Morrison only as successor.","https://newsroom.taylormorrison.com/2018-10-02-Taylor-Morrison-Announces-Close-of-AV-Homes-Acquisition-with-Clear-Vision-for-Growth-in-Top-Housing-Markets","Taylor Morrison announced closing of the AV Homes acquisition on October 2 2018.","FALSE","Do not recode AV Homes pre-acquisition years to Taylor Morrison."
"risewell homes","taken_private_by_private_equity_parent","2021-09-08","2021","2021","","Apollo Global Management funds","going_private_transaction","Keep New Home Company / Risewell as standalone through the 2021 public activity year and flag later Builder observations as private-builder years.","https://ir.apollo.com/news-events/press-releases/detail/65/the-new-home-company-and-apollo-announce-completion-of-the","Apollo announced completion of the New Home Company acquisition and NYSE delisting on September 8 2021.","FALSE","Builder currently labels this lineage as Risewell Homes."
"ucp","acquired_by_public_builder","2017-08-04","2017","2017","century communities","Century Communities","merger","Keep UCP as standalone through the 2017 activity year and track Century Communities only as successor.","https://investors.centurycommunities.com/news/news-details/2017/Century-Communities-Completes-Business-Combination-with-UCP/default.aspx","Century Communities announced completion of its business combination with UCP on August 4 2017.","FALSE","Do not recode UCP pre-acquisition years to Century."
"calatlantic group","acquired_by_public_builder","2018-02-12","2018","2018","lennar corp","Lennar Corp.","merger","Keep CalAtlantic as standalone through the 2018 activity year and track Lennar only as successor.","https://investors.lennar.com/press-releases/2018/02-12-2018-203614378","Lennar announced completion of its strategic combination with CalAtlantic on February 12 2018.","FALSE","Do not recode CalAtlantic pre-acquisition years to Lennar."
"landsea homes","acquired_by_private_builder","2025-06-25","2025","2025","risewell homes","Risewell Homes","acquisition","Keep Landsea Homes as standalone through the 2025 activity year and track Risewell only as successor.","https://www.nasdaq.com/press-release/new-home-co-completes-acquisition-landsea-homes-corporation-2025-06-25","Nasdaq GlobeNewswire release says New Home completed the Landsea acquisition on June 25 2025 and created a privately held top-25 builder.","FALSE","New Home and Landsea later united under the Risewell Homes brand."
