builder_name_key,ticker,cik,sec_company_name,sec_reporting_indicator,public_parent_no_comparable_us_10k,manual_review_indicator,valid_from_year,valid_to_year,notes
d r horton,DHI,882184,D R HORTON INC,TRUE,FALSE,FALSE,2004,,Current public builder seed.
pulte homes,PHM,822416,PULTEGROUP INC,TRUE,FALSE,FALSE,2004,2010,Historical Builder name maps to PulteGroup SEC reporter.
centex corp,CTX,18532,CENTEX LLC,TRUE,FALSE,FALSE,2004,2009,SEC submissions CIK 0000018532 for CENTEX LLC/Centex Corp.; acquired by Pulte in 2009.
nvr,NVR,906163,NVR INC,TRUE,FALSE,FALSE,2004,,Current public builder seed.
kb home,KBH,795266,KB HOME,TRUE,FALSE,FALSE,2004,,Current public builder seed.
the ryland group,RYL,85974,RYLAND GROUP INC,TRUE,FALSE,FALSE,2004,2015,Historical public builder; acquired/merged into CalAtlantic.
beazer homes,BZH,915840,BEAZER HOMES USA INC,TRUE,FALSE,FALSE,2004,,Current public builder seed.
hovnanian enterprises,HOV,357294,HOVNANIAN ENTERPRISES INC,TRUE,FALSE,FALSE,2004,,Current public builder seed.
toll brothers,TOL,794170,TOLL BROTHERS INC,TRUE,FALSE,FALSE,2004,,Current public builder seed.
m d c holdings,MDC,773141,MDC HOLDINGS INC,TRUE,FALSE,FALSE,2004,2024,Historical public builder; acquired by Sekisui in 2024.
standard pacific corp,SPF,878560,STANDARD PACIFIC CORP,TRUE,FALSE,FALSE,2004,2015,Historical public builder; CIK later associated with CalAtlantic.
m i homes,MHO,799292,M/I HOMES INC,TRUE,FALSE,FALSE,2004,,Current public builder seed.
technical olympic usa,TOA,1046578,TOUSA INC,TRUE,FALSE,FALSE,2004,2007,SEC submissions CIK 0001046578 for TOUSA INC; filed Chapter 11 in 2008.
meritage corp,MTH,833079,MERITAGE HOMES CORP,TRUE,FALSE,FALSE,2004,2004,Historical Builder name maps to Meritage Homes.
weyerhaeuser real estate co,WY,106535,WEYERHAEUSER CO,TRUE,FALSE,TRUE,2004,2013,Diversified U.S. parent 10-K reports Weyerhaeuser Real Estate as a distinct homebuilding segment with controlled lots and operating statistics; the 2014 Builder list reflects 2013 activity and the SEC segment was divested in 2014.
morrison homes,,,Morrison Homes,FALSE,FALSE,TRUE,2004,2007,Historical public/private status needs manual review.
william lyon homes,WLH,1095996,WILLIAM LYON HOMES,TRUE,FALSE,FALSE,2004,2020,SEC submissions CIK 0001095996 for WILLIAM LYON HOMES; acquired by Taylor Morrison in 2020.
taylor woodrow homes,,,Taylor Woodrow Homes,FALSE,TRUE,TRUE,2004,2007,Foreign/public parent structure not comparable without manual review.
jim walter homes,WLT,837173,WALTER INDUSTRIES INC,TRUE,FALSE,TRUE,2004,2008,U.S. public-parent 10-K reports Jim Walter Homes as a distinct on-your-lot homebuilding segment; land-share outcome is structurally noncomparable but operating outcomes are recoverable.
dominion homes,DHOM,917857,DOMINION HOMES INC,TRUE,FALSE,FALSE,2004,2008,SEC submissions CIK 0000917857 for DOMINION HOMES INC; taken private in 2008.
wci communities,WCI,1137778,WCI COMMUNITIES INC,TRUE,FALSE,FALSE,2004,2009,SEC submissions CIK 0001137778 for pre-bankruptcy WCI COMMUNITIES INC.
wci communities,WCIC,1574532,WCI LLC,TRUE,FALSE,FALSE,2014,2017,SEC submissions CIK 0001574532 for post-bankruptcy WCI LLC/WCI Communities public episode; acquired by Lennar in 2017.
orleans homebuilders,OHB,38570,ORLEANS HOMEBUILDERS INC,TRUE,FALSE,FALSE,2004,2010,SEC submissions CIK 0000038570 for ORLEANS HOMEBUILDERS INC; Chapter 11 in 2010.
brookfield homes corp,BHS,1202157,BROOKFIELD HOMES CORP,TRUE,FALSE,FALSE,2004,2011,SEC submissions CIK 0001202157 for BROOKFIELD HOMES CORP; combined into Brookfield Residential in 2011.
avatar holdings,AVHI,39677,AVATAR HOLDINGS INC,TRUE,FALSE,FALSE,2004,2011,Historical name for AV Homes.
levitt and sons,LEV,1218320,Woodbridge Holdings LLC,TRUE,FALSE,TRUE,2004,2007,SEC submissions CIK 0001218320 for Levitt Corp/Woodbridge public parent; keep manual review because Builder label is subsidiary and SIC is land development.
